,test,fname,workload,bpk,Z,ZD,N,fpr_monkey,fpr_binarysearch,fpr_scan,t_monkey,t_binarysearch,t_scan,zeroes
25,test1,Z0.25_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,2,0.25,3,1,0.153516,0.153516,0.153516,0.080416,7.73289e-05,6.834960000000001e-05,1.0
26,test1,Z0.25_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,3,0.25,3,1,0.09494939999999999,0.09494939999999999,0.09494939999999999,0.08563630000000001,8.19735e-05,7.06692e-05,0.0
27,test1,Z0.25_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,4,0.25,3,1,0.0587265,0.0587265,0.0587265,0.08688580000000001,8.139430000000001e-05,7.0926e-05,0.0
28,test1,Z0.25_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,5,0.25,3,1,0.0363225,0.0363225,0.0363225,0.0884562,7.96608e-05,6.90849e-05,0.0
29,test1,Z0.25_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,6,0.25,3,1,0.0224656,0.0224656,0.0224656,0.0988573,8.50148e-05,7.18274e-05,0.0
30,test1,Z0.25_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,7,0.25,3,1,0.013895,0.013895,0.013895,0.10108500000000001,8.66344e-05,7.28889e-05,0.0
31,test1,Z0.25_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,8,0.25,3,1,0.00859411,0.00859411,0.00859411,0.09748430000000001,7.99025e-05,6.8737e-05,0.0
32,test1,Z0.5_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,1,0.5,0,1,0.24804299999999999,0.24804299999999999,0.24804299999999999,0.0804431,8.200059999999999e-05,7.25174e-05,0.0
33,test1,Z0.5_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,2,0.5,0,1,0.153415,0.153415,0.153415,0.0868826,8.46409e-05,7.16788e-05,0.0
34,test1,Z0.5_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,3,0.5,0,1,0.09488780000000001,0.09488780000000001,0.09488780000000001,0.0867605,8.14368e-05,7.01247e-05,0.0
